shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
2827375,WORLD OF WARCRAFT: CATACLYSM PC,CONSUMER ELECTRONICS,58,10.0,36655,35.45,,,,,,,,,,,,,,,,,,,,9.98,,,,9.98,
3753743,SCANFAST ONYX CHECKPOINT FRIENDLY BRIEF,CONSUMER ELECTRONICS,3,44.0,23819,66.93,,,74.28,,,,,,,,,,,,,89.99,,,,99.99,,,,74.28,
43791507,CAT5E 10100BASET PATCH COMPUTER CABLE,CONSUMER ELECTRONICS,3,42.0,10153,1.83,14.99,,104.99,,,,,,,,,,,,,5.49,,4.39,,,113.97,,,4.39,0.877918612408
43794324,501026608 C391467905 COMPATIBLE MAINTENA,CONSUMER ELECTRONICS,3,43.0,1024,211.57,227.25,,,,,,,,,,,,,,,,,,,,123.42,239.99,,123.42,0.06899889989
43794693,GEL MOUSE WRIST REST PURPLE,CONSUMER ELECTRONICS,3,43.0,10327,5.54,9.79,,,,,,,,,,,,,,,,,,7.99,,,21.99,,7.99,0.434116445352
43801572,20K0504 PHOTO DEVELOPER BLACK,CONSUMER ELECTRONICS,3,35.0,10615,241.33,301.66,,,,,,,,,,,,,,,292.99,,292.99,,9.98,,,,9.98,0.199993370019
43890142,41962803 DRUM TYPE C4 CYAN,CONSUMER ELECTRONICS,3,43.0,11465,148.14,185.0,,190.33,,,,,,,,,,,,,178.49,,151.79,,,,333.99,,151.79,0.199243243243
43904885,108R00646 TRANSFER ROLLER,CONSUMER ELECTRONICS,3,43.0,11862,80.77,100.96,,,,,,,,,,,,,,,115.99,,244.99,,,78.79,182.99,,78.79,0.199980190174
44876502,406046 LASER CARTRIDGE BLACK,CONSUMER ELECTRONICS,3,43.0,12978,50.21,60.03,,59.99,,,,,,,,,,,,,,,69.99,,,59.99,119.99,,59.99,0.16358487423
4894404,JVC HAFX5V VLT GUMY PLUS,CONSUMER ELECTRONICS,57,30.0,57573,3.65,7.05,,7.05,,5.99,,,,,,,,,,,10.49,,10.59,,,7.99,,9.99,5.99,0.482269503546
5109234,LEXMARK X264H11G HIGH-YIELD TONER 9000,CONSUMER ELECTRONICS,3,43.0,58949,190.38,,,,,,,,,,,,,,,,234.99,,234.99,,,199.0,399.99,,199.0,
5150242,EPSON T543300 T5433 INK MAGENTA,CONSUMER ELECTRONICS,3,43.0,60799,55.44,,,,,,,,,,,,,,,,78.99,,73.49,,,,126.99,,73.49,
5197984,1509B007 INK,CONSUMER ELECTRONICS,3,43.0,38703,33.75,41.99,,,,,,,,,,,,,,,43.99,,41.99,,,41.99,79.99,,41.99,0.196237199333
5335756,GRANVILLE 96145A BLACK WHEELED LADIES L,CONSUMER ELECTRONICS,3,43.0,36225,99.5,160.0,,129.59,,,,,,,,,,,,,,,,,,,,,129.59,0.378125
5500876,KONICA MINOLTA 1710580004 TONER 6000 PA,CONSUMER ELECTRONICS,3,43.0,60766,184.85,,,,,,,,,,243.99,,,,,,,,249.99,,,,,,243.99,
6579789,YAPSTER STEREO HEADSET PC- BLACK,CONSUMER ELECTRONICS,57,30.0,3428,13.1,16.65,,,,,,,,,,,,,,,,,,,19.99,16.6,,,16.6,0.213213213213
1160292,SAM 50LED UN50J5500,CONSUMER ELECTRONICS,57,1.0,72632,691.0,999.99,,673.78,,,,,,,,,,,,,,,,799.99,,,,,673.78,0.308993089931
2861730,50 4K 120HZ ROKU LED UHD TV,CONSUMER ELECTRONICS,57,4.0,4321,531.15,,,499.99,,529.99,,,,,,,,,,,529.99,,,,,499.99,,,499.99,
3852388,SB WIFI VDO DR SLV,CONSUMER ELECTRONICS,57,11.0,42583,80.0,,,,,,,,149.99,,,,,,,,,,,,,,,,149.99,
4533997,CANON CL-241XL COLOR,CONSUMER ELECTRONICS,3,44.0,3321,23.51,31.99,,,,,,,,,,,,,,,,31.99,,,,,,,31.99,0.265082838387
5172123,HP 80X CF280X-D 2-PACK HIGH YIELD BLA,CONSUMER ELECTRONICS,3,43.0,59145,255.36,,,249.31,,349.99,,,,,,,,,,,,,276.29,,,305.95,,,249.31,
6335571,FROZEN HEADPHONES,CONSUMER ELECTRONICS,57,30.0,38597,12.5,19.71,,19.99,,,,,,,,,,,,,,,,19.99,,19.71,,19.99,19.71,0.365804160325
