shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
1832629,COSMIC CANNA BY KURT SHAFFER 22X32 READY,HOME,24,11.0,8010,38.5,48.13,,35.67,,,,,,,,,,,,,,,,,,,98.99,,35.67,0.200083108248
3033268,HYDRANGEA GARLAND,HOME,24,11.0,43385,49.49,,,57.29,,,,,,,149.99,,,,,,,,,,,,94.99,,57.29,
3062269,HAMILTON BEACH 8 QUART SLOW COOKER,HOME,8,1.0,73863,26.32,30.95,,30.95,,34.99,,,33.82,,,,,,,,,,,34.99,,34.87,,,30.95,0.149596122779
3580029,NICOLE DIETZ LIGHTHOUSE CLIFF CANVAS,HOME,24,11.0,45941,37.74,51.19,,14.94,,,,,,,,,,,,,,,51.19,,,,96.99,,14.94,0.262746630201
3922692,PINK GERANIUM BY SHEILA GOLDEN 16X24 CAN,HOME,24,11.0,49017,26.77,37.59,,37.59,,,,,,,,,,,,,,,,,,,74.99,,37.59,0.287842511306
4505158,24X32 INCHES DIEGUEZ GOLDEN TIMES 24X3,HOME,24,11.0,23524,47.16,58.95,,44.37,,,,,,,,,,,,,,,,,,,101.99,,44.37,0.2
5410667,6 FT. TALL FLORAL DOUBLE SIDED ROOM DIVI,HOME,8,55.0,39493,72.1,90.13,,90.13,,,,,,,,129.0,,,,,,,129.0,,,90.13,129.0,,90.13,0.20004438034
6317405,VITO TWIN MATES BED 39 WITH 3 DRAWERS,HOME,8,55.0,53269,137.25,179.0,,,,,,,180.18,,,,,,,,,,,,219.99,179.0,,,179.0,0.233240223464
6321380,PHILIPPE SAINTE-LAUDY LIFE IS GREEN 8,HOME,24,11.0,34860,21.0,37.99,,,,,,,,,,,,,,,,,,,,,64.99,,64.99,0.447222953409
6375349,USSENTIALS NYLON SLOTTED SERVING SPOON -,HOME,8,41.0,48842,8.5,9.44,,21.49,,,,,,,,,,,,,,,,,,,,,21.49,0.0995762711864
6426731,KEURIG K-CUP BREWER,HOME,8,1.0,47046,50.43,59.33,,65.0,79.99,,,,65.0,79.99,,55.99,,,,,,,,69.99,,,,79.99,55.99,0.15000842744
6739450,BRADON CHAIR,HOME,8,55.0,61471,277.61,395.96,,395.97,,,,,437.61,,,,,,,,,,,,,438.0,,,395.97,0.298893827659
7029305,6 KENTIA PALM SILK TREE,HOME,24,11.0,74583,89.64,112.05,,111.99,,,,,114.69,,369.99,175.08,,,,,,,111.99,,,,,,111.99,0.2
7070384,ORIENTAL PEDESTAL - BLACK LANDSCAPE,HOME,8,55.0,20230,119.0,,,209.0,,,,,,,,,,,,,,,,,,,209.0,,209.0,
7155144,BAMBOO SQUARE SERVING TRAY WITH CRISS CR,HOME,8,41.0,34899,12.5,,,24.99,,,,,,,,,,,,,,,,,,,,,24.99,
7190252,SANTA FE MIRROR,HOME,24,11.0,79042,282.0,393.22,,393.22,,,,,,,,,,,,,,,,,,,469.99,,393.22,0.282844209348
8721552,32352 PRO EFK WITH 5 BLADES AND GLOVE,HOME,8,41.0,1718,81.0,101.25,,101.25,,,,,179.99,,,,,,,,,,,,,100.03,,,100.03,0.2
1112983,TWIN PACK FRY PANS 8 10 CHAMPAGNE,HOME,8,41.0,62892,12.0,11.97,,19.83,,,,,,,29.99,,,,,,,,,,19.99,,,,19.83,-0.00250626566416
1183150,27 BOTTLE MATTE BLACK WINE RACK RTA,HOME,8,41.0,54469,35.29,50.99,,,,,,,47.41,,99.99,,,,,,,,,,,,56.16,,47.41,0.307903510492
1212845,VELOUR COVER FOR THE BETTER SLEEP PILLOW,HOME,96,40.0,62465,5.75,20.99,,,,,,,,,,,,,,,,,,,,,17.99,,17.99,0.726060028585
1271236,10 CUP COFFEEMAKER,HOME,8,1.0,13912,91.0,,103.99,103.53,129.99,129.99,,,104.97,,179.99,,129.99,,,,,,129.0,,,110.49,,129.99,103.53,
1413163,GRAND PRIX DUCAP DANTIBES BY G KOW 24,HOME,24,11.0,68379,37.4,49.7,,49.7,,,,,,,,,,,,,,,,,,,101.99,,49.7,0.247484909457
1427433,PALAIS DE GLACE CHAMPS ELYSEES BY JULES,HOME,24,11.0,68521,53.56,66.95,,61.12,,,,,61.12,,,,,,,,,,,,,66.95,139.99,,61.12,0.2
1451050,LULU BY FIRMIN BOUISSET18X24 READY TO H,HOME,24,11.0,68551,27.56,34.45,,21.12,,,,,26.47,,,,,,,,,,,,,34.45,77.99,,21.12,0.2
