shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
65493531,WCH RELIC ZR33504 L,JEWELRY,44,65.0,49877,30.5,,,,,,,,,56.0,,,,,,,,,,,,,,,56.0,
7734956,WTCH LDS DIAM DIAL 75 5195SVTT,JEWELRY,44,65.0,80629,30.55,45.0,,45.0,,,,,,,64.99,,,,,,,,,,,45.0,,,45.0,0.321111111111
4768114,WTCH RELIC MENS GUNRED MULTI,JEWELRY,44,65.0,15313,43.5,75.0,,75.0,,,,,,,100.0,,,,,,,,,,,,,,75.0,0.42
6572425,WTCH LDS ECO WR100 SST BRAC WHITE,JEWELRY,44,65.0,90161,118.0,,221.25,188.8,221.25,,,,,,295.0,,,,,,,,,,,,,,188.8,
7734707,WTCH LDS BANGLE 75 3746MPGP,JEWELRY,44,65.0,80639,25.85,44.99,,41.24,,,,,,,54.99,,,,,,,,,,,,,,41.24,0.425427872861
1233717,ANADIGI 4942GRY,JEWELRY,44,65.0,95913,24.75,,,29.12,,,,,,,,,,,,,,,,,,,,,29.12,
1235620,ANADIGI 5062RED,JEWELRY,44,65.0,95902,24.75,,,39.4,,,,,,,,,,,,,,,,,,,,,39.4,
1275097,ANADIGI 5108RED,JEWELRY,44,65.0,95896,24.75,,,32.73,,,,,,,,,,,,,,,,,,,,,32.73,
1389440,WTCH CASIO WV200DA-1,JEWELRY,44,65.0,13573,33.8,48.71,,39.59,,,,,,,,,,,,,,,,39.99,,,,,39.59,0.306097310614
1510022,BNGL WTCH 5322BKGP,JEWELRY,44,65.0,96478,24.75,,,34.0,,,,,,,,,,,,,,,,,,,,,34.0,
1510060,LADIES SILVER TONE EXPANSION WATCH,JEWELRY,44,65.0,57904,43.3,74.62,,74.62,,,,,,,,,,,,,,,,,,,,,74.62,0.419726614849
1510143,BNGL WTCH 5322SVTT,JEWELRY,44,65.0,96385,24.75,,,34.0,,,,,,,,,,,,,,,,,,,,,34.0,
15287711,ARMITRON WATCH LDS ANA SIL RESIN CS,JEWELRY,44,65.0,44005,11.28,8.74,,8.74,,,,,,,,,,,,,,,,19.99,,,,,8.74,-0.29061784897
1545106,MENS SILVER TONE CALENDAR WATCH,JEWELRY,44,65.0,5818,53.5,93.75,,54.93,,,,,,,,,,,,,,,,,,,,,54.93,0.429333333333
1545275,LADIES TWO TONE MOTHER OF PEARL DIAL WAT,JEWELRY,44,65.0,58364,57.5,101.25,,54.82,,,,,,108.0,,,,,,,,,,,,,,,54.82,0.432098765432
1545301,LADIES GOLD TONE MOTHER OF PEARL DIAL WA,JEWELRY,44,65.0,58366,57.5,101.25,,101.21,,,,,,,,,,,,,,,,,,,,,101.21,0.432098765432
1545354,LADIES TWO TONE CRYSTAL BEZEL WATCH,JEWELRY,44,65.0,58383,57.5,101.25,,58.07,,,,,,108.0,,,,,,,,,,,,,,,58.07,0.432098765432
1545437,LADIES GOLD TONE CALENDAR WATCH,JEWELRY,44,65.0,58693,43.5,,,59.99,,,,,,,,,,,,,,,,,,,,,59.99,
1547151,LADIES SILVER TONE MOTHER OF PEARL DIAL,JEWELRY,44,65.0,5887,53.5,93.75,,,,,,,,100.0,,,,,,,,,,,,,,,100.0,0.429333333333
1547195,ARMI WATCH 8177RED,JEWELRY,44,65.0,13637,13.54,14.39,,14.39,,,,,,,29.99,,,,,,,,,14.39,,14.67,,,14.39,0.0590687977762
1571014,STRP WTCH 5338MPRGBH,JEWELRY,44,65.0,96301,24.75,,,41.24,,,,,,,,,,,,,,,,,,,,,41.24,
1582767,BRC WTCH 5345MPTT,JEWELRY,44,65.0,96282,29.25,,,48.74,,,,,,,,,,,,,,,,,,,,,48.74,
1586580,BRC CER 5348BHRG,JEWELRY,44,65.0,96234,42.75,,,71.24,,,,,,,,,,,,,,,,,,,,,71.24,
1587977,BRC CER 5348BKGP,JEWELRY,44,65.0,96198,40.5,,,62.99,,,,,,,,,,,,,,,,,,,,,62.99,
1606456,BNGL WTCH 5366MPSV,JEWELRY,44,65.0,96054,40.5,,,32.0,,,,,,,,,,,,,,,,,,,,,32.0,
1623601,BRC WTCH 4935BLSV,JEWELRY,44,65.0,96020,29.25,,,41.85,,,,,,,,,,,,,,,,,,,,,41.85,
1635731,BRC WTCH 4962BKGP,JEWELRY,44,65.0,96000,37.55,,,59.99,,,,,,,,,,,,,,,,,,,,,59.99,
1637815,BRC WTCH 4962BKSV,JEWELRY,44,65.0,95997,30.55,,,48.74,,,,,,,,,,,,,,,,,,,,,48.74,
1689354,STRP WTCH 5048GDTIBK,JEWELRY,44,65.0,95977,31.5,,,52.49,,,,,,,,,,,,,,,,,,,,,52.49,
17334515,CASIO MNS WATCH W96H-1A,JEWELRY,44,65.0,49435,10.0,16.07,,16.07,,,,,,,22.95,,,,,,,,,17.49,,,,,16.07,0.377722464219
1734047,WTCH BULOVA 96L116,JEWELRY,44,65.0,13641,148.75,122.5,,122.5,,,,,,,350.0,,,,,,,,,,,,,,122.5,-0.214285714286
18200211,TMXMENS EXP WATCH MENSEXP MET GRN DIAL,JEWELRY,44,65.0,34163,25.44,,,33.99,,,,,,,,,,,,,,,,,,33.99,,,33.99,
2017306,WTCH ARMITRON 45 700LDS RED FASTWRAP,JEWELRY,44,65.0,13742,11.28,15.99,,15.99,,,,,,,29.99,,,,,,,,,15.99,,15.99,,,15.99,0.294559099437
2191250,WTCH ARMITRON 40 8209BLK DIGITAL,JEWELRY,44,65.0,13714,11.28,18.74,,18.74,,,,,,,29.99,,,,,,,,,19.99,,,,,18.74,0.398078975454
22069011,TIMEX MENS WATCH MEN S DATE INDIGLO,JEWELRY,44,65.0,34162,26.11,,,29.43,,,,,,,54.95,,,,,,,,,,,29.43,,,29.43,
2517521,WTCH ARMTRN 20 4507DGSV MENS CRYSTL DIAL,JEWELRY,44,65.0,13777,32.85,38.65,,37.79,,,,,,,69.99,,,,,,,,,37.99,,37.79,,,37.79,0.150064683053
2776546,PND DIA 1 10CTW GOS ICON HEART,JEWELRY,44,32.0,23326,37.14,34.99,,,,,,,,,,,,,,,,,,,,68.0,,,68.0,-0.061446127465
2776685,PND DIA 1 10CTW GOS CROSS HEART,JEWELRY,44,32.0,23328,37.3,34.99,,,,,,,,,,,,,,,,,,,,68.0,,,68.0,-0.0660188625322
2776711,PND DIA 1 10CTW GOS DBL HEART,JEWELRY,44,32.0,23329,37.3,34.99,,,,,,,,,,,,,,,,,,,,68.0,,,68.0,-0.0660188625322
2784127,RNG DIA 1 4CTW SS BLK WHT HEART 7,JEWELRY,44,32.0,23343,55.74,,,,,,,,,,,,,,,,,,,,,98.0,,,98.0,
27985811,CAS MENS WATCH GSHOCK MENS WATCH,JEWELRY,44,65.0,42225,50.0,58.82,,54.88,,,,,,,120.0,,,,,,,,60.39,99.99,,,,,54.88,0.14994899694
27986111,CAS MENS WATCH CASIO MENS 200M WATC,JEWELRY,44,65.0,13121,25.22,,,23.99,,,,,,,,,,,,,,,,,,23.99,,,23.99,
3091061,M BLKNVY DIGI STRP,JEWELRY,44,65.0,90621,13.54,,,22.49,,,,,,,,,,,,,,,,,,,,,22.49,
3161444,WTCH ARMITRON MENS DGTL METAL RED DIAL,JEWELRY,44,65.0,14585,13.54,20.69,,20.69,,,,,,,39.99,,,,,,,,,20.99,,20.69,,,20.69,0.345577573707
