shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
1649271,TEAROFF DAILY DESK CALENDAR REFILL,OTHER,50,5.0,83547,8.27,13.99,,,,,,,,,,,,,,,,,,,,,27.99,,27.99,0.40886347391
43781975,WEEKLY SIXRING APPOINTMENT BOOK,OTHER,50,5.0,19873,17.96,34.99,,19.99,,,,,,,,,,,,,37.59,,36.79,31.49,,19.99,46.99,,19.99,0.486710488711
43817668,SINGLE LETTER TRAY ACRYLIC CLEAR,OTHER,50,5.0,26384,14.24,16.75,,13.99,,,,,,,,,,,,,26.49,,,,,14.7,54.99,,13.99,0.149850746269
43833687,CUP HOLDER 1234W X 412D X 1134D,OTHER,50,5.0,29752,43.88,56.99,,56.82,,,,,,,,,,,,,125.99,,81.59,,,57.54,149.99,,56.82,0.230040357958
43833782,PHONEKLEEN WET WIPES CLOTH 5 X 5 72B,OTHER,50,5.0,29798,11.63,21.39,,10.07,,,,,,,,,,,,,26.39,,,20.99,,11.23,34.99,,10.07,0.45628798504
43843092,POLYPROPYLENE SHEET PROTECTOR,OTHER,50,5.0,30530,9.39,12.39,,12.39,,,,,,,,,,,,,16.19,,,12.39,,12.11,32.99,,12.11,0.242130750605
43854077,EXTRA HEAVY RECYCLED PRESSBOARD END TAB,OTHER,50,5.0,3757,34.43,43.99,,43.99,,,,,,,,,,,,,,,,,,,81.99,,43.99,0.217322118663
43859223,PRESSBOARD GUIDES WITH METAL TABS,OTHER,50,5.0,4034,47.67,56.08,,55.99,,,,,,,,,,,,,90.99,,,,,55.99,111.99,,55.99,0.149964336662
43859331,DELUXE VINYL PROJECT FOLDERS,OTHER,50,5.0,4093,34.67,64.99,,40.99,,,,,,,,,,,,,,,,40.99,,40.99,84.99,,40.99,0.466533312817
43868487,STEEL HANGING FOLDER DRAWER FRAME,OTHER,50,5.0,4616,12.55,20.49,,10.99,,,,,,,,,,,,,23.19,,,,,,24.99,,10.99,0.387506100537
43879234,LEATHERLIKE EXPANDING WALLETS,OTHER,50,5.0,5073,2.48,4.19,,43.87,,,,,,,,,,,,,,,,,,,33.98,,33.98,0.408114558473
43881137,MANILA REINFORCED GUIDE HEIGHT FILE FOLD,OTHER,50,5.0,5350,20.17,24.53,,24.53,,,,,,,,,,,,,45.69,,,,,24.53,56.99,,24.53,0.17774154097
43883506,STAINLESS STEEL LINED VACUUM CARAFE,OTHER,50,5.0,54837,39.68,74.99,,54.55,,,,,,,,,,,,,78.79,,78.79,,,,87.99,,54.55,0.470862781704
43895863,LEGAL INDEX DIVIDER SET ALLSTATE STYLE,OTHER,50,5.0,5745,1.54,4.59,,5.29,,,,,,,,,,,,,5.29,,5.29,,,,44.97,,5.29,0.664488017429
43904920,DIGITAL COLOR XPRESSIONS PAPER,OTHER,50,5.0,59131,14.62,21.99,,,,,,,,,,,,,,,21.99,,,,,18.68,39.99,,18.68,0.335152341974
