shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
5353190,LP GAS OUTDOOR FIREBOWL WITH DECORATIVE,OUTDOOR LIVING SEASONAL,71,28.0,29288,490.0,576.47,,547.59,,,,,879.0,,,,,,,,,,,497.59,,543.33,969.99,,497.59,0.149999132652
6468721,9 FT. DUNHILL FIR GARLAND WITH CLEAR LIG,OUTDOOR LIVING SEASONAL,71,51.0,34758,25.14,39.99,,,,,,,,,,,,,,,,,,,39.99,42.89,,,39.99,0.371342835709
6468765,6 FT. KALEIDOSCOPE GARLAND WITH BATTERY,OUTDOOR LIVING SEASONAL,71,51.0,34796,41.45,,,82.64,,,,,,,,,,,,,,,66.99,,107.99,,,,66.99,
7980833,ATHENS SET OR ARM CHAIRS W CUSHION,OUTDOOR LIVING SEASONAL,71,28.0,18864,227.0,,,285.56,,,,,,,,,,,,,,,,,,,,,285.56,
3993849,OUTDOOR ELECTRIC GRILL WITH VERSASTAND,OUTDOOR LIVING SEASONAL,71,22.0,12031,125.0,147.06,,132.99,179.99,199.99,,,143.1,,,149.99,,,,,,,,,,,,,132.99,0.150006799946
44530555,PORTLAND PERGOLA,OUTDOOR LIVING SEASONAL,71,28.0,89374,584.99,872.99,,,,,,,872.99,,,899.99,,,,,,,,,,,,,872.99,0.329900686148
4477028,36 SKIMMER,OUTDOOR LIVING SEASONAL,71,22.0,19143,11.32,14.69,,,,,,,16.97,,,,,,,,,,31.99,,,,27.03,,16.97,0.229407760381
4801099,RIMINI HIGH BACK CHAIR,OUTDOOR LIVING SEASONAL,71,28.0,22670,132.75,249.99,,,,,,,,,,,,,,,,,,,,,249.99,,249.99,0.46897875915
5256209,CLIFTON 5PC SQUARE TEAK PATIO DINING SET,OUTDOOR LIVING SEASONAL,71,28.0,23502,958.78,1563.69,,1521.0,,,,,1566.63,,,,,,,,,,,,,,1869.99,,1521.0,0.386847776733
5419869,BASIC PLUS BENCH,OUTDOOR LIVING SEASONAL,71,28.0,30857,198.0,359.99,,,,,,,,,,,,,,,,,,,,,359.99,,359.99,0.449984721798
5442917,10 X16 FOUR SEASON ADD-A-ROOM SOLARIUM,OUTDOOR LIVING SEASONAL,71,28.0,18370,2133.75,3152.0,,3152.0,,,,,,,,,,,,,,,,,,,4099.99,,3152.0,0.323048857868
5634868,CANTINA TRADE CLUB CHAIR 2-PACK,OUTDOOR LIVING SEASONAL,71,28.0,29261,845.0,1434.49,,,,,,,1172.42,,,1259.0,,,,,,,,,,,,,1172.42,0.410940473618
5828409,6 FT. GLITTERY BRISTLE PINE MANTEL SWAG,OUTDOOR LIVING SEASONAL,71,51.0,30489,28.41,,,,,,,,,,,,,,,,,,53.98,,44.99,44.99,,,44.99,
5828655,20 TIFFANY FIR HANGING BASKET WITH BATT,OUTDOOR LIVING SEASONAL,71,55.0,30754,35.79,48.59,,,,,,,,,,,,,,,,,,,59.99,,,,59.99,0.263428689031
5828763,36 GLITTERY MOUNTAIN SPRUCE MAILBOX SWA,OUTDOOR LIVING SEASONAL,71,51.0,30851,14.9,24.29,,29.99,,,,,,,,,,,,,,,,,29.99,29.99,,,29.99,0.386578839028
5828774,20 FROSTED BERRY HANGING BASKET WITH BA,OUTDOOR LIVING SEASONAL,71,55.0,30867,36.74,56.68,,,,,,,,,,,,,,,,,62.99,,69.99,62.98,,,62.98,0.35179957657
5828789,4 FT. DOWNSWEPT FORESTREE WITH CLEAR LIG,OUTDOOR LIVING SEASONAL,71,51.0,30911,47.75,,,,,,,,,,,,,,,,,,81.99,,89.99,82.99,,,81.99,
5829133,4 FT. TINSEL TREE WITH CLEAR LIGHTS,OUTDOOR LIVING SEASONAL,71,51.0,31427,18.31,24.29,,,,,,,,,,,,,,,,,41.98,,29.99,29.99,,,29.99,0.246191848497
5829224,9 FT. WINCHESTER PINE GARLAND,OUTDOOR LIVING SEASONAL,71,51.0,31435,11.76,21.23,,,,,,,,,,,,,,,,,,,,,36.99,,36.99,0.446066886481
