shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
1046886,ACCESSORY COMPLETER KIT,TOOLS,9,88.0,13642,71.49,,94.63,,,,,,90.3,,,84.11,,,,,,,,,,,,,84.11,
13006799,HONEYWELL MODEL 2070EXPANDABLE WALL SAF,TOOLS,9,54.0,12988,109.6,155.0,,118.4,,,,,123.33,,,155.0,,,,,,,,,,118.4,179.99,,118.4,0.292903225806
2264516,LITTLE GIANT HOSE RELITTLE GIANT HOSE RE,TOOLS,9,88.0,22854,94.01,146.99,,59.12,,,,,,,,,,,,149.99,,,,,,,,,59.12,0.360432682495
31883111,VOLT DETECTR CRAFT SMAN,TOOLS,34,14.0,82174,5.23,10.99,,10.99,,,,,,,,,,,,,,,,,,,,,10.99,0.524112829845
3625228,OHIO STATE BUCKEYES LOGO FATHEAD,TOOLS,30,88.0,21416,53.99,67.49,,,,,89.99,,,,89.99,,,,,,,,106.41,87.99,89.99,,,,87.99,0.20002963402
3625229,DUKE BLUE DEVILS LOGO FATHEAD,TOOLS,30,88.0,21417,53.99,72.45,,72.45,,,89.99,,,,,,,,,,,,106.41,,89.99,,,,72.45,0.254796411318
3689355,GYROS 80-18102 MANDREL 1 8 SHANK - FIT,TOOLS,9,88.0,31160,2.0,5.99,,,,,,,,,,4.92,,,,,,,,,,,,,4.92,0.666110183639
5107229,THE LION KING PEEL STICK WALL DECALS,TOOLS,30,88.0,1607,7.79,9.89,,9.89,,,,,,,,,,,,,,,,,14.99,,22.99,,9.89,0.212335692619
5139260,110010 4-INCH X 24-INCH 120 GRIT ALUMINU,TOOLS,9,88.0,27315,16.9,,,13.99,,,,,,,,,,23.49,,,,,,,,,,,13.99,
5139389,128033 12-1 2-INCH PLANER KNIVES FOR DEL,TOOLS,9,88.0,29085,23.79,40.99,,37.11,,,,,,,,,,40.49,,,,,,,,,,,37.11,0.419614540132
5139426,148022 6-INCH JOINTER KNIVES FOR CRAFTSM,TOOLS,9,88.0,35824,12.74,25.99,,16.99,,,,,,,,,,25.49,,,,,,,,,,,16.99,0.509811465948
