shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
2577697,ROCKING HORSE MAGENTA,TOYS,52,72.0,18726,22.79,29.99,,,,,,,,,,,,,,,,,38.98,,,29.99,43.99,,29.99,0.240080026676
5913557,RESISTANCE PLAYSET CALL OF DUTY,TOYS,52,7.0,46611,38.99,,,,,,,,,,,,,,,,,,,119.99,,,,,119.99,
2770097,JIMMY LOADER PLUS TRAILER,TOYS,52,76.0,22685,134.0,170.99,,,,,,,,,,,,,,,,,,,199.99,,216.6,,199.99,0.21632844026
42654588,NEW ENGLAND PATRIOTS FULL SIZE REPLICA H,TOYS,52,37.0,93728,65.65,119.99,,97.73,,,71.99,,,,129.99,,,,,,,,,,,,,,71.99,0.452871072589
42654598,PHILADELPHIA EAGLES FULL SIZE REPLICA HE,TOYS,52,37.0,93733,65.65,119.99,,98.52,,,,,,,129.99,,,,,,,,,,,,,,98.52,0.452871072589
5556159,10 FT GRIP FOR POOL HANDRAILS - BLUE,TOYS,52,13.0,3599,68.75,82.1,,,,,,,,,,,,,,,,,,,129.99,,,,129.99,0.162606577345
8556861,WIND STAKES - PACK OF 4,TOYS,52,80.0,56221,26.44,,,,,,,,,,,,,,,,,,,,26.99,17.21,59.99,,17.21,
8865108,PRINCESS COZY COUPE,TOYS,52,76.0,57043,41.58,,,44.83,,,,,,,,,,,,,,,,,46.99,44.83,58.99,,44.83,
1092207,30 ROUND POOL SOLARCOVER,TOYS,52,13.0,93901,114.03,136.57,,136.57,,,,,,,,,,,,,,,,,,,,,136.57,0.165043567401
1177762,SUPERSTRUCTS WACKY MACHINES,TOYS,52,7.0,78559,46.39,,,,,,,,,,,,,,,,,,,,65.99,65.99,,,65.99,
1177847,FUN WITH NUMBERS FUN WITH NUMBERS,TOYS,52,9.0,78916,13.86,,,18.07,,,,,,,,,,,,,,,,,24.99,16.68,,,16.68,
1194226,19MM A GRADE SERIALIZED SET OF CASINO DI,TOYS,52,37.0,17878,7.39,11.39,,12.02,,15.99,,,,,,,,,,,,,,,,,,,12.02,0.351185250219
1194227,19MM A GRADE SERIALIZED SET OF CASINO DI,TOYS,52,37.0,17879,7.39,10.48,,10.59,,15.99,,,,,,,,,,,,,14.49,,,,,,10.59,0.294847328244
1194436,19MM A GRADE SERIALIZED SET OF CASINO DI,TOYS,52,37.0,1788,7.39,11.39,,11.39,,,,,,,,,,,,,,,,,,,,,11.39,0.351185250219
1201218,1000 115 GRAM DICESTRIPED CHIPS IN ALU,TOYS,52,37.0,17883,65.4,84.99,,84.99,,,,,,,,,,,,,,,89.29,,,,,,84.99,0.230497705612
1206068,ROTATING DRESS UP STORAGE ESPRESSO,TOYS,52,78.0,53185,115.0,148.0,,,,,,,,,,,,,,,,,,,199.99,148.0,,,148.0,0.222972972973
1274728,EDUCATIONAL INSIGHTS DINO CONSTRUCTION C,TOYS,52,51.0,55001,27.4,,,39.48,,,,,,,,,,,,,,,,39.99,,39.48,,,39.48,
1274729,DINO CONSTRUCTION COMPANY T-REX SKID LO,TOYS,52,51.0,55002,27.4,,,24.74,,,,,,,,,,,,,,,,24.74,,27.4,,,24.74,
1274731,DINO CONSTRUCTION COMPANY ANKYLOSAURUS S,TOYS,52,51.0,55004,25.2,,,27.49,,,,,,,,,,,,,,,,28.63,,,,,27.49,
13008098,WINE CORKS JIGSAW PUZZLE,TOYS,52,9.0,93092,11.71,16.62,,,,,,,,,,,,,,,,,,,19.99,,,,19.99,0.295427196149
13008101,KLIMT THE KISS METALLIC JIGSAW PUZZLE,TOYS,52,9.0,93094,24.47,29.27,,,,,,,,,,,,,,,,,,,44.99,29.27,,,29.27,0.163990433891
13008108,PEPPERS AND CHILLIES1000 PIECE JIGSAW PU,TOYS,52,9.0,93100,11.71,16.62,,,,,,,,,,,,,,,,,,,19.99,,,,19.99,0.295427196149
1416473,BACHMANN THUNDER VALLEY TRAIN,TOYS,52,77.0,22558,77.95,,,79.67,,,,,,,,,,,,,,,,,,,,,79.67,
1417193,BACHMANN RASPBERRY SYRUP TANKER,TOYS,52,77.0,22572,20.7,,,19.49,,,,,,,,,,,,,,,,19.49,,22.06,,,19.49,
1417194,BACHMANN BLUE OPEN WAGON,TOYS,52,77.0,22573,18.48,,,16.56,,,,,,,,,,,,,,,,,,,,,16.56,
1449737,SORT N STORE TOY CHEST,TOYS,52,53.0,91758,53.19,62.58,,59.0,,,,,,,,,,,,,,,,,61.99,,,,59.0,0.150047938639
1449753,TOTSPORTS EASY SCOREBASKETBALL SET,TOYS,52,53.0,91748,24.31,29.44,,,,,,,,,,,,,,,,,,34.99,34.99,,,,34.99,0.174252717391
1449777,SHOPPING CART,TOYS,52,53.0,91720,22.79,26.81,,24.99,,,,,,,,,,,,,,,,24.99,,24.99,,,24.99,0.149944050727
1494548,BRIDGE SIZE CUT CARD GREEN,TOYS,52,51.0,21390,0.11,4.74,,12.08,,,,,,,,,,,,,,,,,,,,,12.08,0.976793248945
1494551,ON OFF CHIP BUTTON FOR CRAPS,TOYS,52,37.0,21393,0.86,5.69,,5.69,,,,,,,,,,,,,,,,,,,,,5.69,0.848857644991
1494557,PROFESSIONAL BLACKJACK SET,TOYS,52,37.0,21398,31.61,52.24,,52.24,,,,,,,,,,,,,,,,,,,,,52.24,0.394908116386
1533215,RIDDLECUBE THE GAME,TOYS,52,9.0,5321,12.0,,,14.1,,,,,,,,,,,,,,,,,19.99,,,,14.1,
1533222,THE SCI OR FI FILES,TOYS,52,9.0,53211,9.8,,,,,,,,,,,,,,,,,,12.69,,11.99,,,,11.99,
1575326,JUMBO MATHMAGNETS-MULTICOLORED,TOYS,52,5.0,53253,9.8,,,13.83,,,,,,,,,,,,,,,,,11.99,11.99,,,11.99,
1575406,COIN ASSORTMENT,TOYS,52,5.0,53318,13.1,,,,,,,,,,,,,,,,,,,,,19.51,,,19.51,
1575407,BRIGHTS PATTERN BLOCKS,TOYS,52,5.0,53319,13.1,16.49,,,,,,,,,,,,,,,,,,,16.49,16.49,,,16.49,0.205579138872
1575473,JUMBO UPPERCASE ALPHAMAGNETS,TOYS,52,5.0,53288,9.8,,,11.99,,,,,,,,,,,,,,,,,11.99,11.99,,,11.99,
1583231,MOTOCROSS THUNDER MAX VX 12V,TOYS,52,76.0,9982,201.0,279.0,,,,,,,,,,,,,,,,,,,299.99,279.0,,,279.0,0.279569892473
1663232,JUMBO LOWERCASE ALPHAMAGNETS,TOYS,52,5.0,53360,9.8,,,11.99,,,,,,,,,,,,,,,,,11.99,11.99,,,11.99,
1679482,PANDA PLUSH ROCKING ANIMAL,TOYS,52,76.0,16182,44.51,54.92,,54.92,,,,,,,,,,,,,,,,,64.99,,,,54.92,0.189548434086
1690722,SUNSHINE BANDS COTTON CANDY PINK PACK,TOYS,52,78.0,55527,3.4,4.74,,,,,,,,,,,,,,,,,,,,5.23,,,5.23,0.282700421941
1690771,SUNSHINE LOOM SUPER REFILL PACK,TOYS,52,78.0,55530,7.4,9.49,,,,,,,,,,,,,,,,,,,,9.49,,,9.49,0.220231822972
1694101,ELEPHANT PLUSH ROCKING ANIMAL,TOYS,52,76.0,16194,37.48,49.99,,,,,,,,,,,,,,,,,,,59.99,,,,59.99,0.25025005001
1714874,N SCALE STRAIGHT TRACK,TOYS,52,77.0,55546,13.99,,,16.43,,,,,,,,,,,,,,,,,,,,,16.43,
1715066,HOOK AND LOOP COUPLERS,TOYS,52,77.0,55537,9.0,,,11.99,,,,,,,,,,,,,,,,,,,,,11.99,
1727224,BEAR PLUSH ROCKING ANIMAL,TOYS,52,76.0,16258,35.7,53.19,,53.19,,,,,,,,,,,,,,,53.19,,59.95,,52.99,,52.99,0.328821206994
1727229,N SCALE RADIUS CURVED TRACK,TOYS,52,77.0,55550,10.0,,,10.38,,,,,,,,,,,,,,,,,,,,,10.38,
1744770,FLOWERS HOPPER,TOYS,52,11.0,55568,13.75,18.99,,12.19,,,,,,,,,,,,,,,,,,,,,12.19,0.275934702475
1744960,FABRIC COVERED USEAT,TOYS,52,60.0,17161,19.16,,,,,,,,20.93,,,,,,,,,,32.39,,,20.93,,,20.93,
1744973,SWIM TEE TRAINER BLUE,TOYS,52,60.0,17165,21.46,25.25,,,,,,,,,,,,,,,,,,,,23.43,,,23.43,0.150099009901
1745379,1239ROUND ABOVE GROUND SOLAR BLANKET,TOYS,52,13.0,1717,18.7,,,24.42,,,,,,,,43.55,,,,,,,,,,,,,24.42,
1745383,1539ROUND ABOVE GROUND POOL SOLAR BLA,TOYS,52,13.0,17170,27.97,,,33.23,,,,,,,,57.13,,,,,,,,,,,,,33.23,
1745396,2439ROUND 8 MIL BLUE SOLAR BLANKET FO,TOYS,52,13.0,17173,70.37,,,77.25,,,,,,,,120.0,,,,,,,,,,,,,77.25,
1745397,2839ROUND 8 MIL BLUE SOLAR BLANKET FO,TOYS,52,13.0,17174,95.31,,,103.62,,,,,,,,155.69,,,,,,,,,,,,,103.62,
1745401,3039ROUND 8 MIL BLUE SOLAR BLANKET FO,TOYS,52,13.0,17175,108.59,,,118.07,,,,,,,,177.34,,,,,,,,,,,,,118.07,
1745697,POOL JAM PRO POOLSIDE BASKETBALL FOR ING,TOYS,52,13.0,17194,187.17,464.95,,183.28,,,,,,,,,,,,,,,,,,204.38,,,183.28,0.597440585009
1745706,GIANT SWAN RIDEABLE POOL TOY,TOYS,52,13.0,17198,32.51,77.85,,29.99,,,,,49.95,,,57.34,,,,,,,48.99,,,35.51,,,29.99,0.582402055234
1820988,INLAID WALNUT STYLE WOOD CABINET W STAU,TOYS,52,9.0,16520,25.82,34.95,,34.95,,,,,,,,,,,,,,,41.99,,44.99,34.95,,,34.95,0.261230329041
1820991,DELUXE WOODEN CHESS CHECKER BACKGAMMO,TOYS,52,9.0,16521,30.04,35.77,,35.77,,,,,,,80.0,,,,,,,,46.79,,54.99,35.77,,,35.77,0.160190103439
1821183,DELUXE WOODEN BACKGAMMON SET,TOYS,52,9.0,16524,34.35,40.41,,36.94,,,,,,,,,,,,,,,,,,36.94,,,36.94,0.149962880475
1852006,HAPPY TRAILS153 HORSE PLUSH ROCKING H,TOYS,52,76.0,1656,40.28,49.74,,49.74,,,,,,,,,,,,,,,53.19,,,,,,49.74,0.19018898271
1869700,EMPIRE BUILDER N SCALE READY TO RUN ELEC,TOYS,52,77.0,55614,145.0,,,164.24,,,,,,,,,,,,,,,,,,,,,164.24,
1869702,SANTA FE DIGITAL COMMANDER HO SCALE READ,TOYS,52,77.0,55615,229.5,,,237.29,,,,,,,,,,,,,,,,,,,,,237.29,
1869872,SPRUKITS LEVEL 3 BATMAN ARKHAM CITY BATM,TOYS,52,50.0,55620,43.65,51.36,,,,,,,,,,,,,,,,,,,54.99,41.97,,,41.97,0.15011682243
1870256,THOMAS AND FRIENDS BRENDAM WAREHOUSE RES,TOYS,52,77.0,55630,67.99,,,81.41,,,,,,,,,,,,,,,,,,79.76,,,79.76,
1870333,MCKINLEY EXPLORER N SCALE READY TO RUN E,TOYS,52,77.0,55631,93.0,,,108.79,,,,,,,,,,,,,,,,,,,,,108.79,
1871348,GOLDEN SPIKE N SCALE READY TO RUN ELECTR,TOYS,52,77.0,55633,258.5,,,239.18,,,,,,,,,,,,,,,,,,,,,239.18,
1871375,NORTH WOODS LOGGER LARGE G SCALE READY T,TOYS,52,77.0,55634,310.0,,,356.87,,,,,,,,,,,,,,,,,,356.99,,,356.87,
1888076,HO SCALE TIDMOUTH SHEDS WITH MAN TURNTAB,TOYS,52,77.0,55648,143.0,,,142.66,,,,,,,,,,,,,,,,,,,,,142.66,
1947426,ULTIMATE FLOATING LOUNGER,TOYS,52,60.0,16771,51.51,60.6,,37.52,,,,,51.72,,,82.15,,,,,,,69.99,,,56.02,,,37.52,0.15
1958724,2439 ROUND BELIZE153 STEEL FRAME 5,TOYS,52,13.0,16777,1293.6,1521.86,,,,,,,,,,2108.43,,,,,,,,,2599.99,,,,2108.43,0.149987515277
1964321,HAPPY TRAILS COW PLUSH ROCKING ANIMAL,TOYS,52,76.0,16782,38.0,52.86,,52.86,,,,,,,69.99,,,,,,,,,54.99,54.99,,52.99,,52.86,0.281119939463
2062374,1000 115G HOLDEM POKER CHIP SET WALUMI,TOYS,52,37.0,17090,68.07,,,85.04,,110.99,,,,,,,,,,,,,93.69,,99.99,85.04,106.99,,85.04,
