shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
7238964,DMAE CAPS 100 CAPSULES,HEALTH AND BEAUTY,13,80.0,75597,9.12,12.99,,22.2,,,,,,,,,,,,,,,,,,6.36,,,6.36,0.29792147806
7244601,TRUE-MASS VANILLA ICE CREAM 5.82 POUND,HEALTH AND BEAUTY,13,80.0,76513,57.64,80.99,,39.99,,,54.99,,,,,,,,,,,,,,,,,,39.99,0.28830719842
9416278,BRILLIANT GLOSSING CONDITIONER,HEALTH AND BEAUTY,13,45.0,10689,11.73,,,,,,,,,,30.0,,,,,,,,,12.19,,18.97,,,12.19,
1009387,PERFECTIONIST YOUTH-INFUSING MAKEUP SPF,HEALTH AND BEAUTY,13,15.0,30770,31.11,,,44.14,,,,,,,,,,,,,,,,,,,,,44.14,
1010832,FULL BLOWN VOLUME CONDITIONER,HEALTH AND BEAUTY,13,45.0,31161,11.73,,,,,,,,,,30.0,,,,,,,,,19.99,,,,,19.99,
1031400,SILK BLOOM RESTORATIVE SHAMPOO,HEALTH AND BEAUTY,13,45.0,35054,48.96,,,65.91,,,,,,,,,,,,,,,,,,,,,65.91,
1032620,LE TEINT TOUCHE ECLAT ILLUMINATING FOUND,HEALTH AND BEAUTY,13,15.0,35063,34.17,,,42.45,,,,,,,,,,,,,,,,,,,,,42.45,
1034079,AGELESS ELIXIR 2IN1 FOUNDATION SERUM S,HEALTH AND BEAUTY,13,15.0,35328,9.64,,,14.4,,,,,,,,,,,,,,,,,,,,,14.4,
1034399,ESSENTIAL SHEA SHAMPOO,HEALTH AND BEAUTY,13,45.0,35521,10.93,,,,,,,,,,20.0,,,,,,,,,19.99,,,,,19.99,
1230580,GARCINIA HCA PURE EXTRACT 80 SOFTGELS,HEALTH AND BEAUTY,13,85.0,1146,14.24,17.99,,12.62,,,,,,,,,,,,,,,,,,12.62,,,12.62,0.20844913841
1738947,YOUTH ALUMINUM FOREARM CRUTCHES,HEALTH AND BEAUTY,13,85.0,23560,31.17,,,42.02,,,,,37.52,,,,,,,,,,34.99,,,,,,34.99,
1739724,FREEDOM ROLLATOR SMOKEY BLUE,HEALTH AND BEAUTY,13,85.0,11994,72.62,,,,,,,,99.0,,,,,,,,,,,,,99.99,,,99.0,
1740492,BARIATRIC ROLLATOR,HEALTH AND BEAUTY,13,85.0,23492,100.89,,,129.94,,,,,129.99,,,,,,,,,,,,,129.94,,,129.94,
1740826,BARIATRIC FOLDING WALKER WITH WHEELS,HEALTH AND BEAUTY,13,85.0,23565,46.45,,,,,,,,53.95,,,,,,,,,,,,,71.24,,,53.95,
1740831,BARIATRIC FOLDING WALKER,HEALTH AND BEAUTY,13,85.0,23569,51.48,,,53.95,,,,,53.95,,,,,,,,,,,,,53.95,,,53.95,
1740937,BARIATRIC BATH BENCH WITH BACK,HEALTH AND BEAUTY,13,85.0,23509,62.12,,,,,,,,79.99,,,,,,,,,,,,,73.96,,,73.96,
1760425,WALKER 3 INCH SWIVEL WHEEL ATTACHMENT,HEALTH AND BEAUTY,13,85.0,23501,15.34,,,26.29,,,,,,,,,,,,,,,26.29,,,,,,26.29,
1760426,WALKER 5 INCH FIXED WHEEL ATTACHMENT,HEALTH AND BEAUTY,13,85.0,22629,10.4,,,,,,,,,,,,,,,,,,20.69,,,13.0,,,13.0,
1760538,WALKER 5 INCH SWIVEL WHEEL ATTACHMENT,HEALTH AND BEAUTY,13,85.0,22630,15.58,,,28.87,,,,,,,,,,,,,,,28.49,,,,,,28.49,
2345109,THERMA MOIST MICHAEL GRAVES HEATING PAD,HEALTH AND BEAUTY,13,35.0,16707,42.99,69.99,,,,,,,57.32,,,,,,,,,,,,,,,,57.32,0.385769395628
2345110,THERMA MOIST MICHAEL GRAVES HEATING PAD,HEALTH AND BEAUTY,13,35.0,16710,48.99,,,,,,,,59.74,,,,,,,,,,66.59,,,,,,59.74,
3174267,SUPER AQUA INTENSE HYDRATION WRINKLE PLU,HEALTH AND BEAUTY,13,65.0,72255,103.66,,,64.12,,,,,,,,,,,,,,,,,,,,,64.12,
3251918,PHYTO LIP SHINE - 7 SHEER PEACH,HEALTH AND BEAUTY,13,65.0,7231,20.89,,,44.72,,,,,,,,,,,,,,,,,,,,,44.72,
3446155,HIGH-PRECISION LIP LINER - 24 ROUGE DAH,HEALTH AND BEAUTY,13,15.0,72505,18.22,,,31.75,,,,,,,,,,,,,,,,,,,,,31.75,
4593707,MAXI SHINE LIP GLOSS- 465 BUBBLE GUM,HEALTH AND BEAUTY,13,15.0,75019,21.39,,,29.63,,,,,,,,,,,,,,,,,,,,,29.63,
4593709,MAXI SHINE LIP GLOSS- 469 FUCHSIA DING,HEALTH AND BEAUTY,13,15.0,75020,20.57,,,30.0,,,,,,,,,,,,,,,,,,,,,30.0,
4602079,MAXI SHINE LIP GLOSS- 464 GUIMAUVE VLO,HEALTH AND BEAUTY,13,15.0,75040,21.39,,,30.0,,,,,,,,,,,,,,,,,,,,,30.0,
48355423,L OREAL FERIA RUBY FUSION 66,HEALTH AND BEAUTY,13,45.0,34453,7.28,,,9.99,,,,,,,,,,,,,,,,,,8.97,,,8.97,
50910411,ADVANCED REVITALIFT FACE NECK,HEALTH AND BEAUTY,13,65.0,24830,7.98,14.99,,10.39,,,,,,,,,,,,,,,,10.39,,10.39,,,10.39,0.467645096731
5785036,MORINGA 90 VGC,HEALTH AND BEAUTY,13,80.0,73937,15.86,,,15.78,,,,,,,,,,,,,,,,,,,,,15.78,
5785477,ALPHA LIPOIC ACID 100 CAPLETS,HEALTH AND BEAUTY,13,80.0,73989,9.15,,,5.09,,,,,,,,,,,,,,,,,,,,,5.09,
5785596,POMEGRANATE FROM THE SEED 90 COUNT,HEALTH AND BEAUTY,13,80.0,74032,17.25,,,16.96,,,,,,,,,,,,,,,,,,,,,16.96,
5785719,HYALURONIC ACID ADVANCED 120 COUNT,HEALTH AND BEAUTY,13,80.0,74074,18.52,25.99,,21.48,,,,,,,,,,,,,,,,,,,,,21.48,0.287418237784
5786261,PURE HA NATURAL HYALURONIC ACID 60 CAPL,HEALTH AND BEAUTY,13,80.0,74123,18.93,26.99,,17.86,,,,,,,,,,,,,,,,,,,,,17.86,0.298629121897
5786273,MEGA PROBIOTIC ND 120 COUNT,HEALTH AND BEAUTY,13,80.0,74126,19.52,,,14.36,,,,,,,,,,,,,,,,,,,,,14.36,
5788704,INOSITOL POWDER 2 OZ,HEALTH AND BEAUTY,13,80.0,74138,10.27,14.99,,40.31,,,,,,,,,,,,,,,,,,,,,40.31,0.31487658439
5788705,PROBIOTIC 30 BILLION 60 VGC,HEALTH AND BEAUTY,13,80.0,74139,21.96,,,17.98,,,,,,,,,,,,,,,,,,,,,17.98,
5789000,EGGSHELL MEMBRANE 500MG 120 CAPLETS,HEALTH AND BEAUTY,13,80.0,74178,45.33,,,38.98,,,,,,,,,,,,,,,,,,,,,38.98,
5789495,ASHWAGANDHA FORMULA 90 CAPLETS,HEALTH AND BEAUTY,13,80.0,74203,16.11,22.99,,13.05,,,,,,,,,,,,,,,,,,,,,13.05,0.299260548064
5789496,MEMORY FORMULA 90 CAPLETS,HEALTH AND BEAUTY,13,80.0,74204,16.11,,,14.19,,,,,,,,,,,,,,,,,,,,,14.19,
5791591,L-GLUTATHIONE 500MG 60 CAPLETS,HEALTH AND BEAUTY,13,80.0,74225,26.63,37.99,,21.77,,,,,,,,,,,,,,,,,,,,,21.77,0.299026059489
5792552,EGGSHELL MEMBRANE 500MG 60 CAPLETS,HEALTH AND BEAUTY,13,80.0,74268,26.63,,,24.18,,,,,,,,,,,,,,,,,,,,,24.18,
5792554,PURELY E CAPS 60 CAPLETS,HEALTH AND BEAUTY,13,80.0,7427,22.88,,,21.09,,,,,,,,,,,,,,,,,,,,,21.09,
5792792,RING STOP EAR DROPS .5 OZ,HEALTH AND BEAUTY,13,80.0,74323,13.68,,,12.79,,,,,,,,,,,,,,,,,,,,,12.79,
5792849,SLEEP WELLNESS 60 VGC,HEALTH AND BEAUTY,13,80.0,74340,12.58,,,13.67,,,,,,,,,,,,,,,,,,,,,13.67,
5793888,CASSIA NOMAME 60 VGC,HEALTH AND BEAUTY,13,80.0,74387,11.19,15.99,,11.87,,,,,,,,,,,,,,,,,,,,,11.87,0.300187617261
7237940,NUTRITION SHAKE CHOCOLATE CREAM 42 PAC,HEALTH AND BEAUTY,13,80.0,75326,79.97,111.99,,76.38,,,,,,,,,,,,,,,,,,,,,76.38,0.28591838557
7238481,MUSCLE MILK STRAWBERRIES N CR ME 2.47,HEALTH AND BEAUTY,13,80.0,75425,36.97,51.99,,,,,29.99,,,,,,,,,,,,,,,,,,29.99,0.288901711868
7238971,LEAN BODY VANILLA ICE CREAM 2.47 POUND,HEALTH AND BEAUTY,13,80.0,75603,38.81,,,28.27,,,,,,,,,,,,,,,,,,,,,28.27,
7239579,FITNESS FIBER UNFLAVORED 6.87 OUNCES,HEALTH AND BEAUTY,13,80.0,75748,8.19,11.99,,5.49,,,,,,,,,,,,,,,,,,,,,5.49,0.316930775646
7240497,PROPEPTIDE CHOCOLATE MALT 2 POUNDS,HEALTH AND BEAUTY,13,80.0,75828,47.79,,,29.25,,,,,,,,,,,,,,,,,,,,,29.25,
7240869,COMPLETE EFA 90 SOFT GEL CAPSULES,HEALTH AND BEAUTY,13,80.0,75905,15.27,21.99,,28.98,,,,,,,,,,,,,,,,,,,,,28.98,0.305593451569
7243720,INOSITOL CAPS 500 MILLIGRAMS 100 CAPSU,HEALTH AND BEAUTY,13,80.0,76167,11.44,,,21.81,,,,,,,,,,,,,,,,,,,,,21.81,
7244716,TRUE-MASS CHOCOLATE MILKSHAKE 5.82 POU,HEALTH AND BEAUTY,13,80.0,76485,57.64,80.99,,39.97,,,54.99,,,,,,,,,,,,,,,,,,39.97,0.28830719842
7245194,LEAN BODY CHOCOLATE ICE CREAM 20 PACKE,HEALTH AND BEAUTY,13,80.0,76554,54.34,76.99,,45.0,,,,,,,,,,,,,,,,,,,,,45.0,0.294194051175
7245944,COLON GREEN 150 CAPSULES,HEALTH AND BEAUTY,13,80.0,76585,13.32,18.99,,119.88,,,,,,,,,,,,,,,,,,,,,119.88,0.298578199052
7246186,100 WHEY PROTEIN DOUBLE RICH CHOCOLATE,HEALTH AND BEAUTY,13,80.0,76692,20.09,28.99,,18.41,,,,,,,,,,,,,,,,,,,,,18.41,0.307002414626
7246629,SYNTHA-6 BANANA 2.91 POUNDS,HEALTH AND BEAUTY,13,80.0,76718,41.46,58.99,,29.59,,,,,,,,,,,,,,,,,,,,,29.59,0.297169011697
7246757,DIGESTIVE ENZYME QUADRUPLE STRENGTH 25,HEALTH AND BEAUTY,13,80.0,76749,12.42,17.99,,25.66,,,,,,,,,,,,,,,,,,,,,25.66,0.309616453585
7246773,TRUE-MASS COOKIES CREAM 5.82 POUNDS,HEALTH AND BEAUTY,13,80.0,7676,57.64,80.99,,39.99,,,54.99,,,,,,,,,,,,,,,,,,39.99,0.28830719842
7246931,2 SHREDDED 120 CAPSULES,HEALTH AND BEAUTY,13,80.0,7680,35.42,49.99,,33.76,,,,,,,,,,,,,,,,,,,,,33.76,0.291458291658
7461344,PRO COMPLEX GAINER VANILLA CUSTARD 5.0,HEALTH AND BEAUTY,13,80.0,76915,49.64,69.99,,38.84,,,,,,,,,,,,,,,,,,,,,38.84,0.29075582226
7461509,100 WHEY DOUBLE RICH CHOCOLATE 10 POUN,HEALTH AND BEAUTY,13,80.0,77025,120.82,169.99,,101.94,,,,,,,,,,,,,,,,,,,,,101.94,0.289252308959
7461867,CREATINE 2500 CAPS 300 CAPSULES,HEALTH AND BEAUTY,13,80.0,77104,30.67,,,24.96,,,,,,,,,,,,,,,,,,,,,24.96,
7461919,CARDIO KRILL OIL 60 SOFT GEL CAPSULES,HEALTH AND BEAUTY,13,80.0,77068,25.09,35.99,,24.74,,,,,,,,,,,,,,,,,,,,,24.74,0.302861906085
7462210,100 WHEY VANILLA ICE CREAM 2 POUNDS,HEALTH AND BEAUTY,13,80.0,77232,33.76,47.99,,29.98,,,49.99,,,,,,,,,,,,,,,,,,29.98,0.296520108356
7462826,100 WHEY DELICIOUS STRAWBERRY 2 POUNDS,HEALTH AND BEAUTY,13,80.0,77411,33.76,47.99,,26.24,,,,,,,,,,,,,,,,,,,,,26.24,0.296520108356
7515347,SEA BUCKTHORN BODY LOTION 6 OUNCES,HEALTH AND BEAUTY,13,65.0,7756,11.64,,,12.5,,,,,,,,,,,,,,,,,,,,,12.5,
7515738,SEA BUCKTHORN SEED OIL 10 MILLILITERS,HEALTH AND BEAUTY,13,65.0,7771,10.71,,,10.82,,,,,,,,,,,,,,,,,,,,,10.82,
7516171,UNSCENTED AURA GLOW 8 OUNCES,HEALTH AND BEAUTY,13,65.0,77833,8.35,11.99,,29.22,,,,,,,,,,,,,,,,,,,,,29.22,0.303586321935
8507978,COR3 BLOOD PRESSURE MONITOR BLACK,HEALTH AND BEAUTY,13,85.0,18196,35.0,,,47.7,,,,,,,,,,,,,,,,,,,,,47.7,
8746894,LAIT CORPOREL ANTI-DRYING BODY MILK BY B,HEALTH AND BEAUTY,13,65.0,3916,16.84,,,26.0,,,,,,,,,,,,,,,,,,,,,26.0,
8747915,ABEILLE ROYALE INTENSE RESTORING LIFT NE,HEALTH AND BEAUTY,13,65.0,50639,83.24,,,101.3,,,,,,,,,,,,,,,,,,,,,101.3,
8747982,RE-NUTRIV ULTIMATE LIFT AGE-CORRECTING C,HEALTH AND BEAUTY,13,65.0,52443,179.93,,,267.63,,,,,,,,,,,,,,,,,,,,,267.63,
8748092,BIOVERGETURES STRETCH MARKS PREVENTION,HEALTH AND BEAUTY,13,65.0,54470,24.33,,,39.0,,,,,,,,,,,,,,,,,,,,,39.0,
8748107,ORGANIC PURE SHEA BUTTER BY L OCCITANE F,HEALTH AND BEAUTY,13,65.0,55277,28.25,,,42.0,,,,,,,,,,,,,,,,,,,,,42.0,
8788919,NAIL LACQUER NL F15 YOU DON T KNOW JAC,HEALTH AND BEAUTY,13,15.0,14059,6.12,,,9.89,,,,,,,,,,,,,,,,,,,,,9.89,
8788968,NAIL LACQUER - NL B59 MY PRIVATE JET B,HEALTH AND BEAUTY,13,15.0,33952,6.12,9.0,,4.99,,,,,,,,,,,,,,,,,,,,,4.99,0.32
8789179,NAIL LACQUER - NL F16 TICKLE MY FRANCE,HEALTH AND BEAUTY,13,15.0,58440,6.12,,,7.49,,,,,,,,,,,,,,,,,,,,,7.49,
8818208,3-HEAD ROTARY RECHARGEABLE CORDLESS SHAV,HEALTH AND BEAUTY,13,60.0,19028,11.0,,,18.7,,,,,,,,,,,,,,,,,,,,,18.7,
8852240,TERRACOTTA LIGHT SHEER BRONZING POWDER,HEALTH AND BEAUTY,13,15.0,71916,33.94,,,45.0,,,,,,,,,,,,,,,,,,,,,45.0,
9487019,DECADENT LIPSTICK - FIERCE BY TIGI FOR W,HEALTH AND BEAUTY,13,15.0,26675,8.42,,,6.52,,,,,,,,,,,,,,,,,,,,,6.52,
1001090,DEEPSHINE KERATIN CARE SMOOTHING CONDITI,HEALTH AND BEAUTY,13,45.0,28578,6.43,,,16.0,,,,,,,,,,,,,,,,,,,,,16.0,
1004915,YELLOW SHINE DAILY SHAMPOO,HEALTH AND BEAUTY,13,45.0,29945,2.91,,,9.79,,,,,,,,,,,,,,,,,,,,,9.79,
1009420,PROTEIN NAIL LACQUER 315 MILAN BY NAIL,HEALTH AND BEAUTY,13,15.0,30844,4.08,,,9.99,,,,,,,,,,,,,,,,,,,,,9.99,
1010529,AGELESS ELIXIR 2IN1 FOUNDATION SERUM S,HEALTH AND BEAUTY,13,15.0,31135,9.64,,,19.77,,,,,,,,,,,,,,,,,,,,,19.77,
1010750,SILK BLOOM RESTORATIVE TREATMENT BY SHU,HEALTH AND BEAUTY,13,45.0,31156,54.06,,,52.16,,,,,,,,,,,,,,,,,,,,,52.16,
