shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
3789938,VICTOR SONIC PESTCHASER HEAVY DUTY SONIC,LAWN GARDEN,12,5.0,98995,25.5,30.0,,29.97,,,,,29.97,,,29.97,,29.97,,39.99,,,,,,,,,29.97,0.15
4714697,POWER SMART 7651 24-INCH 208CC GAS POWER,LAWN GARDEN,71,92.0,22052,420.0,579.0,,634.0,,,,,579.0,,,549.0,,,,,,,,,,,,,549.0,0.274611398964
6389480,12X4 5-HOLE STEEL MOD TRAILER WHEEL,LAWN GARDEN,71,88.0,91223,14.16,30.99,,23.27,,,,,23.27,,,,,,,,,,,,,,,,23.27,0.543078412391
1177524,SKID SHOES UNIVERSAL,LAWN GARDEN,71,92.0,33967,14.65,24.72,,24.72,,,,,29.98,,,29.97,,24.99,,,,,,,,24.72,,,24.72,0.407362459547
1379987,PRO SERIES 3750 WATTPRO SERIES 3750 WATT,LAWN GARDEN,71,48.0,99733,421.42,441.47,,394.24,,,,,414.99,,,,,,,,,,,,,533.24,499.99,,394.24,0.0454164495889
2947420,RL FLO-MASTER 1 GAL. ECONOMY SPRAYER,LAWN GARDEN,71,88.0,2325,14.5,18.57,,,,,,,,,,,,,,,,,,,,,57.99,,57.99,0.219170705439
3066328,TORCH DECK CLAMP,LAWN GARDEN,12,5.0,1433,2.77,,,5.93,,,,,,,,,,,,,,,,,,6.72,,,5.93,
4746492,GENERAC 30 000 WATT AUTOMATIC STANDBY GE,LAWN GARDEN,71,48.0,93213,7104.34,9699.99,,,,,,,,,,,,8639.0,,,,,,,,,,,8639.0,0.267593059374
4952137,3100 PSI GAS PRESSURE WASHER,LAWN GARDEN,71,47.0,70973,299.97,408.49,,388.61,,,,,388.61,,,,,490.0,,,,,,,,,,,388.61,0.265661338099
5765600,ARROW SHED 10 X25 METAL,LAWN GARDEN,71,60.0,28233,1400.0,1949.99,,,,,,,1648.03,,,1699.0,,,,,,,,,,,2166.98,,1648.03,0.282047600244
6389352,15X6 5-HOLE STEEL MOD TRAILER WHEEL,LAWN GARDEN,71,88.0,90930,25.34,37.99,,49.95,,,,,35.88,,,,,,,,,,,,,,,,35.88,0.33298236378
6604331,327 CU. FT. ALPINE 7 X7 STORAGE SHED,LAWN GARDEN,71,60.0,70913,800.21,1052.59,,1184.05,,,,,1047.76,,,,,,,,,,,,,1047.76,1339.99,,1047.76,0.239770470934
