shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
6838200,260P MARINE PORTA POTTI,SPORTING GOODS,6,75.0,29695,81.85,,,124.49,,,,,,,,,,,,,,,141.99,,,,139.99,,124.49,
7995342,797 ELECTRONIC DARTBOARD,SPORTING GOODS,6,43.0,65974,55.0,64.71,,171.06,,,74.99,,,,119.99,,,,,,,,,,,,,,74.99,0.150054087467
8552227,WHITNEY WOMENS FIGURE SKATE,SPORTING GOODS,6,15.0,30133,28.48,,,40.01,,,,,,,,,,,,,,,,,,,,,40.01,
1293372,CORVETTE C5 DART CABCORVETTE C5 DART CAB,SPORTING GOODS,6,41.0,89638,78.91,92.84,,73.5,,,,,90.24,,,,,,,,,,135.59,,,94.71,153.99,,73.5,0.150043084877
1343405,HOLD OUT II KNIFE-4 PLN EDGE COYOTE WIT,SPORTING GOODS,6,75.0,87380,79.52,96.58,,96.58,,,,,,,,,,,,,,,,,,96.58,,,96.58,0.176641126527
1811506,COCA COLA VINTAGE PUCOCA COLA VINTAGE PU,SPORTING GOODS,6,41.0,97739,149.7,178.99,,178.99,,,,,178.99,,,,,,,,245.99,,232.99,,,197.91,313.99,,178.99,0.163640426839
2169554,ST LOUIS RAMS 175 TEE JAR,SPORTING GOODS,6,70.0,45078,14.0,,,14.21,,,,,,,29.99,,,,,,,,,,,,,,14.21,
2531058,TENT SAGUARO BIVY SHELTER TENT,SPORTING GOODS,6,17.0,29297,31.05,36.53,,44.88,,,,,,,,,,,,,,,,,,,51.99,,44.88,0.15001368738
2620721,MEN S BIKE 700C VOLARE,SPORTING GOODS,6,2.0,30232,175.95,332.49,,,,,,,,,,,,,,,,,,,269.99,,,,269.99,0.470811152215
2704284,COKE ACRYLIC CUE RACK DYNAMIC RIBBON D,SPORTING GOODS,6,41.0,31356,81.91,111.45,,111.45,,,,,111.45,,,,,,,,,,,,,111.45,198.99,,111.45,0.265051592642
2845985,BELLELLI PEPE STANDARD FIT BABY CARRIE,SPORTING GOODS,6,3.0,33383,63.8,,,80.2,,,,,,,94.99,,,,,,,,,,,,,,80.2,
3105680,SUPER-BRELLA MIXED,SPORTING GOODS,6,19.0,5320,27.0,40.26,,39.86,,,,,,,,,,,,,,,,,,40.67,,,39.86,0.329359165425
3108961,BACKYARD DARTS SKY DARTS,SPORTING GOODS,6,43.0,48282,7.08,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,
3486425,10 GUN SAFE,SPORTING GOODS,6,75.0,48483,230.66,319.0,,319.0,,,,,,,,341.54,,,,399.99,,,,,,,449.99,,319.0,0.276927899687
3506170,LOS ANGELES LAKERS NBA THEMATIC 11-INCH,SPORTING GOODS,6,70.0,39793,14.0,,,,,,,,,,,,,,,,,,,,24.99,,,,24.99,
3506213,PHILADELPHIA EAGLES NFL THEMATIC 11-INCH,SPORTING GOODS,6,70.0,39849,14.0,,,,,,,,,,,,,,,,,,,,24.99,,,,24.99,
3653692,UNIVERSITY OF WISCONSIN BADGERS MAN CAVE,SPORTING GOODS,6,70.0,56596,20.75,24.99,,,,,,,,,,29.99,,,,,,,,,,24.99,,,24.99,0.169667867147
3786201,CINCINNATI BENGALS MAN CAVE BANNER,SPORTING GOODS,6,70.0,56723,20.75,38.47,,23.15,,,,,,,,29.99,,,,,,,,,,22.73,,,22.73,0.460618663894
3786207,BOSTON CELTICS MAN CAVE BANNER,SPORTING GOODS,6,70.0,56727,20.75,24.41,,,,,,,,,,29.99,,,,,,,,,,22.29,,,22.29,0.149938549775
4136026,DALLAS MAVERICKS NBA FRAMED LOGO MIRROR,SPORTING GOODS,6,41.0,47951,40.82,51.99,,51.99,,,89.99,,51.99,,105.0,,,,,,,,,,,64.95,113.99,,51.99,0.214849009425
4295034,POWERRIDER 360,SPORTING GOODS,6,64.0,61951,118.5,,,111.98,,,159.99,,,,,,,,,,,,,111.99,179.99,149.0,,,111.98,
4625952,36 INCH FOLDING TRAMPOLINE,SPORTING GOODS,6,12.0,50139,24.75,29.12,,27.22,,,69.99,,,,,,,,,,,,52.15,,,27.22,,,27.22,0.150068681319
5479620,BB2 10 2PC MH SC SURF ROD,SPORTING GOODS,6,75.0,57055,28.03,,,33.53,,,,,,,,,,,,,,,,,,,,,33.53,
5711233,CLEVELAND INDIANS WOOL HERITAGE BANNER,SPORTING GOODS,6,70.0,3854,16.5,19.41,,17.59,,,,,,,,30.31,,,,,,,,,,18.93,,,17.59,0.149922720247
